Year,Control of Presidency,Control of House,Control of Senate
1961,D,D,D
1962,D,D,D
1963,D,D,D
1964,D,D,D
1965,D,D,D
1966,D,D,D
1967,D,D,D
1968,D,D,D
1969,R,D,D
1970,R,D,D
1971,R,D,D
1972,R,D,D
1973,R,D,D
1974,R,D,D
1975,R,D,D
1976,R,D,D
1977,D,D,D
1978,D,D,D
1979,D,D,D
1980,D,D,D
1981,R,D,R
1982,R,D,R
1983,R,D,R
1984,R,D,R
1985,R,D,R
1986,R,D,R
1987,R,D,D
1988,R,D,D
1989,R,D,D
1990,R,D,D
1991,R,D,D
1992,R,D,D
1993,D,D,D
1994,D,D,D
1995,D,R,R
1996,D,R,R
1997,D,R,R
1998,D,R,R
1999,D,R,R
2000,D,R,R
2001,R,R,R
2002,R,R,D
2003,R,R,R
2004,R,R,R
2005,R,R,R
2006,R,R,R
2007,R,D,D
2008,R,D,D
