ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,District,race_ethnicity
10076h,1971,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10076h,1974,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10076h,1973,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10076h,1976,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10076h,1972,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10076h,1975,Bella,S.,Abzug,Democrat,Congress,U.S. Representative,New York - NY,20,White
10098h,1978,Marion Pittman,,Allen,Democrat,Congress,U.S. Senator,Alabama - AL,,White
10079h,1972,Elizabeth,,Andrews,Democrat,Congress,U.S. Representative,Alabama - AL,3,White
10108h,1982,Jean,,Ashbrook,Republican,Congress,U.S. Representative,Ohio - OH,17,White
9608c,2007,Michele,,Bachmann,Republican,Congress,U.S. Representative,Minnesota - MN,6,White
9608c,2008,Michele,,Bachmann,Republican,Congress,U.S. Representative,Minnesota - MN,6,White
159127k,2005,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2008,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2001,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2004,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2007,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2000,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2003,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2006,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,1999,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
159127k,2002,Tammy,,Baldwin,Democrat,Congress,U.S. Representative,Wisconsin - WI,2,White
9997c,2007,Melissa,,Bean,Democrat,Congress,U.S. Representative,Illinois - IL,8,White
9997c,2006,Melissa,,Bean,Democrat,Congress,U.S. Representative,Illinois - IL,8,White
9997c,2005,Melissa,,Bean,Democrat,Congress,U.S. Representative,Illinois - IL,8,White
9997c,2008,Melissa,,Bean,Democrat,Congress,U.S. Representative,Illinois - IL,8,White
